"","pool","group","mean","lci","uci","nobs","nstudy"
"1","MAOC","Overall","0.0541184786248292","0.0180983014100919","0.0901386558395665","178","23"
"2","MAOC","depth.surface","0.0322067882750978","-0.00557845905911476","0.0699920356093104","82","18"
"3","MAOC","depth.subsoil","0.0187269384775279","-0.0298848654078239","0.0673387423628798","37","10"
"4",NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA
"8","MAOC","ccseason.winter","0.0176116101458699","-0.01575606010523","0.0509792803969699","124","18"
"9","MAOC","ccseason.summer","0.120033058806821","0.0465553491439918","0.19351076846965","17","3"
"10","MAOC","ccseason.yearround","0.158804176122376","0.0928536109754356","0.224754741269316","34","5"
"11",NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA
"13","MAOC","ccadded.grass","0.0750075581525877","0.0300962916016177","0.119918824703558","76","13"
"14","MAOC","ccadded.legume","0.0656022924080034","0.0149991926055011","0.116205392210506","37","10"
"15","MAOC","ccadded.grasslegume","0.0149869795472864","-0.0314371255728973","0.0614110846674701","51","13"
"16",NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA
"20","MAOC","maincrop.cereal","0.0652966652895805","0.00793207745199372","0.122661253127167","92","9"
"21","MAOC","maincrop.legume","0.0148467619539258","-0.0575686256373348","0.0872621495451865","44","6"
"22","MAOC","maincrop.cereallegume","0.0353216912189105","-0.0509627029306583","0.121606085368479","19","5"
"23","MAOC","maincrop.perennial","0.0864461857994341","-0.00227527435877883","0.175167645957647","22","4"
"24",NA,NA,NA,NA,NA,NA,NA
"25","MAOC","tillage.conventional","0.0305889342764291","-0.0460051241537232","0.107182992706581","25","5"
"26","MAOC","tillage.reducednotill","0.0446088402197525","-0.000562556743629448","0.0897802371831344","145","16"
"27","MAOC","nfert","2.90432782317399e-05","-0.00112350189083828","0.00118158844730176","110","14"
"28","MAOC","ag.C.inputs","0.048999859880531","0.0276911591030294","0.0703085606580325","87","9"
"29","MAOC","species.added","-0.0160286070158634","-0.0365101944704876","0.00445298043876084","178","23"
"30","MAOC","duration","-0.000728057356858813","-0.0068232959151076","0.00536718120138997","174","22"
"31","MAOC","sand","-0.000290820434853536","-0.00241561168095266","0.00183397081124559","125","16"
"32","MAOC","silt","-4.64342706285615e-05","-0.00240281755494161","0.00230994901368449","113","15"
"33","MAOC","clay","0.00154671188297913","-0.00312553741100135","0.0062189611769596","119","16"
"34","MAOC","toc","-0.00164592041661634","-0.0694910398631402","0.0661991990299075","103","12"
"35","MAOC","ph","0.0144207333308928","-0.0153321935211958","0.0441736601829813","120","15"
"36","MAOC","Temp","0.00255297100786011","-0.00582642240937058","0.0109323644250908","178","23"
"37","MAOC","Prec","4.28263880559311e-05","-5.61988786024817e-05","0.000141851654714344","178","23"
"38","MAOC","soilorder.Alfisols","0.00525991693630578","-0.120756344333176","0.131276178205787","7","3"
"39","MAOC","soilorder.Mollisols","0.0420261267839294","-0.0147744608002394","0.0988267143680983","99","12"
"40",NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA
"47","MAOC","Continent.Europe","0.0334086669411994","-0.0697351936679064","0.136552527550305","7","4"
"48","MAOC","Continent.SouthAmerica","0.0565387706754196","0.00981559776708171","0.103261943583757","139","15"
"49",NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA
"51","MAOC","SoilCollectionSeason.spring","0.0692699161028877","0.00584060065065481","0.132699231555121","75","10"
"52","MAOC","SoilCollectionSeason.summer","-0.0526368199592722","-0.133198135737866","0.027924495819322","35","4"
"53","MAOC","SoilCollectionSeason.fall","0.0637277623414459","-0.0167561344637085","0.1442116591466","48","7"
"54","MAOC","FractionationMethod.Size","0.0491313190702429","0.00761942108904757","0.0906432170514383","150","20"
"55",NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA
"57","MAOC","DispersingAgent.SodiumHex","0.0268252964934481","-0.0343049018913951","0.0879554948782913","76","9"
"58","MAOC","DispersingAgent.OtherSolution","0.083464538337752","0.00700801375554796","0.159921062919956","44","6"
"59","MAOC","DispersingAgent.GlassBeads","0.0651921507628149","-0.014446994799855","0.144831296325485","38","5"
"60",NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA
"62","MAOC","ResponseCalc.Direct","0.0675095697862626","0.0212225734584973","0.113796566114028","88","14"
"63","MAOC","ResponseCalc.Indirect","0.0371488136714926","-0.0144361123681764","0.0887337397111617","90","10"
"64",NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA
