"","pool","group","mean","lci","uci","nobs","nstudy"
"1","POC","Overall","0.139263945702356","0.0827234575020896","0.195804433902623","404","48"
"2","POC","depth.surface","0.0978261475591002","0.0476026550424246","0.148049640075776","176","37"
"3","POC","depth.subsoil","-0.0159429059202313","-0.0779841859870982","0.0460983741466356","75","18"
"4",NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA
"8","POC","ccseason.winter","0.108884997391643","0.05183058077032","0.165939414012967","298","39"
"9","POC","ccseason.spring","0.286261916209183","0.101218414845185","0.471305417573181","39","4"
"10","POC","ccseason.summer","0.169678327639266","0.019729120304593","0.319627534973938","19","4"
"11","POC","ccseason.yearround","0.139623309022935","0.0137697057302684","0.265476912315602","69","7"
"12",NA,NA,NA,NA,NA,NA,NA
"13","POC","ccadded.grass","0.110886158919972","0.048170100132239","0.173602217707706","202","32"
"14","POC","ccadded.legume","0.131970466911373","0.0585581976438168","0.20538273617893","99","18"
"15","POC","ccadded.grasslegume","0.167592419817867","0.090240085247026","0.244944754388708","76","18"
"16","POC","ccadded.brassica","0.0906501510866935","-0.0740907181397392","0.255391020313126","9","3"
"17","POC","ccadded.grasslegumebrassica","0.120952523516638","-0.0232433433023597","0.265148390335636","13","3"
"18",NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA
"20","POC","maincrop.cereal","0.113004045953742","0.0307555599058553","0.195252532001628","208","19"
"21","POC","maincrop.legume","0.253143566456613","0.137244800595326","0.3690423323179","72","10"
"22","POC","maincrop.cereallegume","0.0771931864411441","-0.0136587462028306","0.168045119085119","84","16"
"23","POC","maincrop.otherrowcrop","0.089497246917512","-0.139640090393508","0.318634584228532","10","3"
"24","POC","maincrop.perennial","0.210162065126446","0.0254059783807547","0.394918151872137","30","4"
"25","POC","tillage.conventional","0.148813057707406","0.0665871296534041","0.231038985761409","111","15"
"26","POC","tillage.reducednotill","0.115762343521655","0.0492107389884794","0.182313948054831","277","34"
"27","POC","nfert","-0.000841124683771787","-0.00194253485003146","0.00026028548248789","226","30"
"28","POC","ag.C.inputs","0.0933596059519638","0.0461214759421984","0.140597735961729","156","22"
"29","POC","species.added","0.00842880194924566","-0.0236764192062568","0.0405340231047481","404","48"
"30","POC","duration","0.00531217313741849","-0.00901471377155694","0.0196390600463939","400","47"
"31","POC","sand","0.00176109605321803","-0.00150012578188296","0.00502231788831901","239","28"
"32","POC","silt","-0.00285651545360957","-0.00656696485073144","0.0008539339435123","227","27"
"33","POC","clay","0.000978479916758062","-0.00481919090310353","0.00677615073661965","233","28"
"34","POC","toc","-0.0657647362431727","-0.202428001872387","0.0708985293860413","222","20"
"35","POC","ph","-0.0410707466868605","-0.126894512473835","0.0447530191001141","254","26"
"36","POC","Temp","0.0115027589582025","0.000856064968006612","0.0221494529483985","404","48"
"37","POC","Prec","0.000131766409389446","-3.80825050662507e-05","0.000301615323845142","404","48"
"38","POC","soilorder.Alfisols","0.0897777182308983","-0.0126193793900963","0.192174815851893","84","12"
"39","POC","soilorder.Oxisols","0.266247928326826","0.105337188023176","0.427158668630477","27","4"
"40","POC","soilorder.Mollisols","0.106759822175682","0.0307215041577932","0.182798140193571","153","19"
"41","POC","soilorder.Ultisols","0.108665150770261","-0.0512625738609937","0.268592875401516","50","4"
"42","POC","soilorder.Inceptisols","0.415088252625529","0.25854067752267","0.571635827728388","32","4"
"43",NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA
"45","POC","Continent.Asia","0.0397414348703565","-0.185135289642839","0.264618159383552","61","3"
"46","POC","Continent.Europe","-0.0146217877937606","-0.237005574645477","0.207761999057955","11","4"
"47","POC","Continent.NorthAmerica","0.0585134366289101","-0.0437966471883488","0.160823520446169","119","17"
"48","POC","Continent.SouthAmerica","0.196055742903069","0.10756114475954","0.284550341046597","196","21"
"49",NA,NA,NA,NA,NA,NA,NA
"50","POC","SoilCollectionSeason.winter","0.209379437480112","0.0685366655902803","0.350222209369944","37","3"
"51","POC","SoilCollectionSeason.spring","0.0976984411206914","0.0101513240575712","0.185245558183812","125","22"
"52","POC","SoilCollectionSeason.summer","0.192013181555007","0.0819571692480006","0.302069193862013","107","9"
"53","POC","SoilCollectionSeason.fall","0.0806920561500352","-0.0399215872917409","0.201305699591811","117","13"
"54","POC","FractionationMethod.Size","0.148378488416274","0.0910290640511994","0.205727912781349","357","45"
"55",NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA
"57","POC","DispersingAgent.SodiumHex","0.139721398303566","0.0687273476091636","0.210715448997968","266","32"
"58","POC","DispersingAgent.OtherSolution","0.121762062415648","-0.0103271342485462","0.253851259079842","84","9"
"59","POC","DispersingAgent.GlassBeads","0.217733715723975","0.0274806486921401","0.40798678275581","34","4"
"60",NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA
"62","POC","ResponseCalc.Direct","0.14190600210302","0.0846368715276431","0.199175132678396","364","45"
"63","POC","ResponseCalc.Indirect","0.108945476937568","0.0010225547168445","0.216868399158292","40","5"
"64",NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA
