"","r2","p","m","b","mod","resp","index","mod2","id","signif","color"
"1",0,0.580780717362424,0.0004145158617885,0.0491359557924085,"sand","SOC",1,"Baseline
sand (%)","1","","blue"
"13",0,0.786447938085886,-0.000290820434853536,0.0632474156232556,"sand","MAOC",1,"Baseline
sand (%)","2","","red"
"25",0,0.287403511441131,0.00176109605321803,0.120707325583822,"sand","POC",1,"Baseline
sand (%)","3","","blue"
"2",0,0.3591433973569,-0.00077883340404795,0.0931795562362558,"silt","SOC",2,"Baseline
silt (%)","4","","red"
"14",0,0.968851932342503,-0.0000464342706285615,0.0533912693509754,"silt","MAOC",2,"Baseline
silt (%)","5","","red"
"26",0,0.129253549095278,-0.00285651545360957,0.289427095881881,"silt","POC",2,"Baseline
silt (%)","6","","red"
"3",0,0.749503183775662,0.000436538289588472,0.0578848651165106,"clay","SOC",3,"Baseline
clay (%)","7","","blue"
"15",0,0.512073922291559,0.00154671188297913,0.0132100126122001,"clay","MAOC",3,"Baseline
clay (%)","8","","blue"
"27",0,0.739490855187915,0.000978479916758062,0.177436753000278,"clay","POC",3,"Baseline
clay (%)","9","","blue"
"4",0,0.723639755425301,-0.0111596865894696,0.0863474556529002,"toc","SOC",4,"Baseline
SOC (%)","10","","red"
"16",0.370097613385889,0.961616422642216,-0.00164592041661634,0.0600343813818237,"toc","MAOC",4,"Baseline
SOC (%)","11","","red"
"28",0,0.342933050480809,-0.0657647362431727,0.244517990598348,"toc","POC",4,"Baseline
SOC (%)","12","","red"
"5",0,0.774174930111759,0.00523486384451805,0.0552458486868882,"ph","SOC",5,"Baseline
pH","13","","blue"
"17",0.509562764753778,0.337153871756768,0.0144207333308928,-0.0336998520145693,"ph","MAOC",5,"Baseline
pH","14","","blue"
"29",0,0.345956103003313,-0.0410707466868605,0.438725959906797,"ph","POC",5,"Baseline
pH","15","","red"
"6",0.026827822478109,0.17840656634497,-0.0120028100903035,0.0759942730031787,"species.added","SOC",6,"Number of
species added","16","","red"
"18",0.0244649265008451,0.122476762085328,-0.0160286070158634,0.0794702165895239,"species.added","MAOC",6,"Number of
species added","17","","red"
"30",0,0.605773017598269,0.00842880194924566,0.12686210348289,"species.added","POC",6,"Number of
species added","18","","blue"
"7",0.281011152277802,0.0000142971233834512,0.046471392686908,-0.00514998321581016,"ag.C.inputs","SOC",7,"Aboveground
C inputs
(Mg ha-1 yr-1)","19","*","blue"
"19",0.80057863288815,0.00000482931995468825,0.048999859880531,-0.0412919365293572,"ag.C.inputs","MAOC",7,"Aboveground
C inputs
(Mg ha-1 yr-1)","20","*","blue"
"31",0.0424146825668526,0.000094507139459084,0.0933596059519638,0.0371308151989488,"ag.C.inputs","POC",7,"Aboveground
C inputs
(Mg ha-1 yr-1)","21","*","blue"
"8",0,0.616468260973249,0.00116422616799937,0.0510221543501841,"duration","SOC",8,"Duration
(yrs)","22","","blue"
"20",0,0.81361074127283,-0.000728057356858813,0.0576461113999172,"duration","MAOC",8,"Duration
(yrs)","23","","red"
"32",0,0.466039003257288,0.00531217313741849,0.112276739224946,"duration","POC",8,"Duration
(yrs)","24","","blue"
"9",0.126223695807398,0.341319650811077,-0.000247490566140888,0.098826620637667,"nfert","SOC",9,"Nitrogen
fertilization
(kg ha-1 yr-1)","25","","red"
"21",0.360357678341865,0.960162796418852,0.0000290432782317399,0.0620629116994607,"nfert","MAOC",9,"Nitrogen
fertilization
(kg ha-1 yr-1)","26","","blue"
"33",0.0329433633706035,0.132345734968882,-0.000841124683771787,0.234255477841143,"nfert","POC",9,"Nitrogen
fertilization
(kg ha-1 yr-1)","27","","red"
"10",0.0651274892106738,0.0138297438790947,0.00595933058665584,-0.0275470524537154,"Temp","SOC",10,"Mean annual
temperature (°C)","28","*","blue"
"22",0,0.547652363752841,0.00255297100786011,0.0128538436755948,"Temp","MAOC",10,"Mean annual
temperature (°C)","29","","blue"
"34",0.030640621368301,0.0336740993569524,0.0115027589582025,-0.0305183595433126,"Temp","POC",10,"Mean annual
temperature (°C)","30","*","blue"
"11",0.0220817069492617,0.284333797390731,0.0000399736341944394,0.0203982854501037,"Prec","SOC",11,"Annual
precipitation (mm)","31","","blue"
"23",0,0.39337489779035,0.0000428263880559311,0.0145145366411166,"Prec","MAOC",11,"Annual
precipitation (mm)","32","","blue"
"35",0.00713613620532305,0.127233099818359,0.000131766409389446,0.0128923718823564,"Prec","POC",11,"Annual
precipitation (mm)","33","","blue"
"12",0,0.714132143276564,0.00162488389051217,0.048986465071915,"duration","SOC",12,"Duration
(yrs)","34","","blue"
"24",0,0.462436692493531,0.00463027426136066,0.030931743071023,"duration","MAOC",12,"Duration
(yrs)","35","","blue"
"36",0,0.338201762737925,0.00904933946615738,0.093050287543732,"duration","POC",12,"Duration
(yrs)","36","","blue"
