"","moderator","Qm","Qmdf","Qmp","Qe","Qedf","Qep"
"1","Overall",NA,NA,NA,"5494.21530164359","403","0"
"2","depth","10.4391394118638","2","3.80316932872001e-05","5403.5341879167","402","0"
"3","ccseason","7.61400226070449","4","6.40726275641252e-06","4860.49313381205","400","0"
"4","ccadded","4.83522014480949","5","0.000263761558080087","5394.8450879097","399","0"
"5","maincrop","6.36566996010234","5","1.05574076942185e-05","4745.97903599058","399","0"
"6","tillage","8.07375183660335","2","0.000364926566195494","5630.40312188689","402","0"
"7","nfert","2.26477145580766","1","0.133754458774613","3484.65389214995","224","0"
"8","ag.C.inputs","15.243385861765","1","0.000141011769795424","2146.48411240486","154","0"
"9","species.added","0.266376281320302","1","0.606056777940713","5493.18167494576","402","0"
"10","duration","0.531352003302446","1","0.466467717582272","5369.35743311864","398","0"
"11","sand","1.13174463224631","1","0.288486215804648","3662.53186236673","237","0"
"12","silt","2.30144685074708","1","0.130657273641348","3479.21577399873","225","0"
"13","clay","0.110574646407037","1","0.739792416100501","3580.79714869998","231","0"
"14","toc","0.899435757013301","1","0.343973643745031","4049.58052053961","220","0"
"15","ph","0.888234822101466","1","0.346858729506514","3931.80840391681","252","0"
"16","Temp","4.51117505224277","1","0.0342840906352464","5482.95279294349","402","0"
"17","Prec","2.32594294313623","1","0.128019413827038","5494.07932495834","402","0"
"18","soilorder","10.0254788718933","5","4.71918445607175e-09","3966.2050669724","399","0"
"19","Continent","5.09274721292388","4","0.000518210598027202","5536.74661368807","400","0"
"20","SoilCollectionSeason","4.3499030673108","4","0.00186983919774292","5074.35249357582","400","0"
"21","FractionationMethod","25.8697621210093","1","5.60829988350646e-07","5132.35227974388","403","0"
"22","DispersingAgent","7.77176355644125","3","4.68424554455396e-05","5404.14447980262","401","0"
"23","ResponseCalc","11.8647031178491","2","9.8531072198394e-06","5454.49649323768","402","0"
