"","pool","group","mean","lci","uci","nobs","nstudy"
"1","MAOC","Overall","0.0555046551352762","0.0217727826011758","0.0892365276693766","196","25"
"2","MAOC","depth.surface","0.033072603241281","-0.00188056275282565","0.0680257692353877","90","20"
"3","MAOC","depth.subsoil","0.0195502411830258","-0.0244336308769594","0.063534113243011","43","12"
"4","MAOC","depth.deepsoil",NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA
"8","MAOC","ccseason.winter","0.0174310612282054","-0.0130307214096165","0.0478928438660272","142","20"
"9","MAOC","ccseason.spring",NA,NA,NA,NA,NA
"10","MAOC","ccseason.summer","0.11879091555293","0.0554250931336024","0.182156737972259","25","4"
"11","MAOC","ccseason.fall",NA,NA,NA,NA,NA
"12","MAOC","ccseason.yearround","0.157027975902586","0.094140344961154","0.219915606844019","34","5"
"13","MAOC","ccadded.grass","0.0719856807282334","0.0300567480546007","0.113914613401866","86","14"
"14","MAOC","ccadded.legume","0.0695883055135854","0.0226364771196161","0.116540133907555","45","11"
"15","MAOC","ccadded.grasslegume","0.0162126672047732","-0.0284323895405317","0.060857723950078","51","13"
"16","MAOC","ccadded.brassica",NA,NA,NA,NA,NA
"17","MAOC","ccadded.grassbrassica",NA,NA,NA,NA,NA
"18","MAOC","ccadded.legumebrassica",NA,NA,NA,NA,NA
"19","MAOC","ccadded.grasslegumebrassica",NA,NA,NA,NA,NA
"20","MAOC","maincrop.cereal","0.0718875767150653","0.0198015285500161","0.123973624880115","100","10"
"21","MAOC","maincrop.legume","0.0144460700414932","-0.0551161766729035","0.0840083167558899","44","6"
"22","MAOC","maincrop.cereallegume","0.0297022162996061","-0.0442123182239863","0.103616750823198","29","6"
"23","MAOC","maincrop.otherrowcrop",NA,NA,NA,NA,NA
"24","MAOC","maincrop.perennial","0.0860459274370526","0.000891000038574785","0.17120085483553","22","4"
"25","MAOC","tillage.conventional","0.0284806442115352","-0.0325753880090047","0.089536676432075","34","7"
"26","MAOC","tillage.reducednotill","0.0493875508250957","0.00778575396287905","0.0909893476873124","154","18"
