"","pool","group","mean","lci","uci","nobs","nstudy"
"1","POC","Overall","0.165067475701122","0.101451916458933","0.228683034943311","396","45"
"2","POC","depth.surface","0.180329362363659","0.106992746313928","0.253665978413389","156","33"
"3","POC","depth.subsoil","0.0108487189829982","-0.0811485125512713","0.102845950517268","81","20"
"4","POC","depth.deepsoil","0.309453043559692","0.13877412943267","0.480131957686713","36","1"
"5",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA
"8","POC","ccseason.winter","0.112593391112131","0.0418887307327625","0.1832980514915","288","36"
"9","POC","ccseason.spring","0.264564016926125","0.065697861172488","0.463430172679763","39","4"
"10","POC","ccseason.summer","0.15003957436348","-0.00260472018090852","0.302683868907869","50","7"
"11","POC","ccseason.fall",NA,NA,NA,NA,NA
"12","POC","ccseason.yearround","0.199915771858018","0.0413837462189172","0.358447797497119","69","7"
"13","POC","ccadded.grass","0.155004015547868","0.0756536674156979","0.234354363680038","191","28"
"14","POC","ccadded.legume","0.191288585505946","0.0994494294515994","0.283127741560293","114","20"
"15","POC","ccadded.grasslegume","0.151958657037818","0.0454273222799613","0.258489991795675","70","17"
"16","POC","ccadded.brassica","0.0797605369560183","-0.177781382451177","0.337302456363214","9","3"
"17","POC","ccadded.grassbrassica",NA,NA,NA,NA,NA
"18","POC","ccadded.legumebrassica",NA,NA,NA,NA,NA
"19","POC","ccadded.grasslegumebrassica","0.159851594433538","-0.132917699997425","0.452620888864501","7","2"
"20","POC","maincrop.cereal","0.152575807789327","0.0562155621694608","0.248936053409193","230","18"
"21","POC","maincrop.legume","0.259547185558827","0.126247432358932","0.392846938758723","74","10"
"22","POC","maincrop.cereallegume","0.08180171020894","-0.0510772631200728","0.214680683537953","52","13"
"23","POC","maincrop.otherrowcrop","0.0876539983269714","-0.203465831564846","0.378773828218789","10","3"
"24","POC","maincrop.perennial","0.229686259382083","0.020239184188899","0.439133334575267","30","4"
"25","POC","tillage.conventional","0.156682174236816","0.0620530339231771","0.251311314550455","129","18"
"26","POC","tillage.reducednotill","0.148529758822838","0.0711493898374781","0.225910127808197","251","31"
"27","POC","nfert","-0.000273640485650004","-0.0010257878467993","0.000478506875499288","248","30"
"28","POC","ag.C.inputs","0.118967452140614","0.062105014998012","0.175829889283216","127","17"
"29","POC","species.added","-0.00519354917225345","-0.0582452113480767","0.0478581130035698","396","45"
"30","POC","duration","0.00642389276830023","-0.00347915584282092","0.0163269413794214","392","44"
"31","POC","sand","0.00140962228631714","-0.00214834332760443","0.00496758790023872","280","30"
"32","POC","silt","-0.00266639479840041","-0.00680396403703005","0.00147117444022924","268","29"
"33","POC","clay","0.00111579638991784","-0.00465851362407574","0.00689010640391141","274","30"
"34","POC","toc","-0.00586421553693144","-0.163896337867243","0.15216790679338","222","18"
"35","POC","ph","-0.0507612421847385","-0.129830233436964","0.0283077490674866","271","26"
"36","POC","Temp","0.00951730202299814","-0.00403253425728625","0.0230671383032825","396","45"
"37","POC","Prec","0.000137833585934119","-3.76552235820203e-05","0.000313322395450258","396","45"
"38","POC","soilorder.Alfisols","0.113812396205715","-0.00850613775357702","0.236130930165006","96","12"
"39","POC","soilorder.Oxisols","0.232784222474952","0.0709568392029211","0.394611605746982","37","5"
"40","POC","soilorder.Mollisols","0.13035167924774","0.0327460732836938","0.227957285211785","119","14"
"41","POC","soilorder.Ultisols","0.289306150937244","0.142890755733368","0.43572154614112","61","6"
"42","POC","soilorder.Spodosols",NA,NA,NA,NA,NA
"43","POC","soilorder.Inceptisols","0.349128977234541","0.145875950710247","0.552382003758834","24","3"
"44","POC","Continent.Africa",NA,NA,NA,NA,NA
"45","POC","Continent.Asia","0.0674138345887896","-0.154873618583901","0.289701287761481","72","3"
"46","POC","Continent.Australia",NA,NA,NA,NA,NA
"47","POC","Continent.Europe","-0.0177583534399524","-0.281788340394371","0.246271633514466","11","4"
"48","POC","Continent.NorthAmerica","0.077632399796442","-0.0626970278122598","0.217961827405144","59","11"
