"","pool","group","mean","lci","uci","nobs","nstudy"
"1","SOC","Overall","0.0564198325835566","0.0318205686712231","0.0810190964958902","518","50"
"2","SOC","depth.surface","0.0616546909217411","0.0350122167465599","0.0882971650969224","240","38"
"3","SOC","depth.subsoil","0.00873021456289936","-0.024147020646112","0.0416074497719107","92","23"
"4","SOC","depth.deepsoil",NA,NA,NA,NA,NA
"5","SOC","depth.upperprofile","0.0434422255422802","0.0122722022879369","0.0746122487966234","157","29"
"6","SOC","depth.lowerprofile","0.0693638621520528","0.00722826338672119","0.131499460917384","17","5"
"7","SOC","depth.wholeprofile",NA,NA,NA,NA,NA
"8","SOC","ccseason.winter","0.0373513667738842","0.0120019457132312","0.0627007878345372","374","41"
"9","SOC","ccseason.spring","0.0831245006257659","0.0027218177489521","0.16352718350258","90","4"
"10","SOC","ccseason.summer","0.138071325904854","0.0719733862320577","0.20416926557765","46","6"
"11","SOC","ccseason.fall",NA,NA,NA,NA,NA
"12","SOC","ccseason.yearround","0.0582690253533542","-0.0085520171270722","0.125090067833781","68","6"
"13","SOC","ccadded.grass","0.0601394579818218","0.033362412725868","0.0869165032377755","260","34"
"14","SOC","ccadded.legume","0.0761267019521","0.0439885429633297","0.10826486094087","127","21"
"15","SOC","ccadded.grasslegume","0.0258470856011557","-0.0111014861623915","0.0627956573647029","85","15"
"16","SOC","ccadded.brassica","-0.00335684629649319","-0.0720869926839069","0.0653733000909205","14","4"
"17","SOC","ccadded.grassbrassica",NA,NA,NA,NA,NA
"18","SOC","ccadded.legumebrassica",NA,NA,NA,NA,NA
"19","SOC","ccadded.grasslegumebrassica","0.0353800032646226","-0.0269871763006223","0.0977471828298674","26","3"
"20","SOC","maincrop.cereal","0.0564448645067317","0.0203292544097522","0.0925604746037111","223","20"
"21","SOC","maincrop.legume","0.0989109011386016","0.0478408279533672","0.149980974323836","100","10"
"22","SOC","maincrop.cereallegume","0.00852679349382948","-0.0318986090446007","0.0489521960322596","140","16"
"23","SOC","maincrop.otherrowcrop","0.127730446659289","0.0188545637544101","0.236606329564169","18","3"
"24","SOC","maincrop.perennial","0.0889794326634128","0.00961164376568224","0.168347221561143","37","4"
"25","SOC","tillage.conventional","0.0348530052994133","-0.00459271976972844","0.074298730368555","129","17"
"26","SOC","tillage.reducednotill","0.0552772766367513","0.0252390414808671","0.0853155117926354","363","35"
"27","SOC","nfert","-0.000252478280566531","-0.00059506744554208","9.01108844090169e-05","371","34"
"28","SOC","ag.C.inputs","0.0332183113773407","0.0173366200140139","0.0491000027406674","255","22"
"29","SOC","species.added","-0.0103429803477809","-0.0253220026191729","0.00463604192361113","518","50"
"30","SOC","duration","0.00125567818844917","-0.00223905884585689","0.00475041522275523","514","49"
"31","SOC","sand","0.000616991442477587","-0.000889689860411315","0.00212367274536649","312","29"
"32","SOC","silt","-0.000613156564625173","-0.00235215941264852","0.00112584628339817","288","28"
"33","SOC","clay","-0.000625613900473653","-0.00334068555817904","0.00208945775723174","294","29"
"34","SOC","toc","-0.00747363147796931","-0.0649724861772442","0.0500252232213055","264","19"
"35","SOC","ph","0.0196573373635434","-0.0163700739223752","0.0556847486494621","327","26"
"36","SOC","Temp","0.00512889901662645","0.000375344792790952","0.00988245324046195","518","50"
"37","SOC","Prec","3.14242311687168e-05","-3.72021105271612e-05","0.000100050572864595","518","50"
"38","SOC","soilorder.Alfisols","0.00495596970745764","-0.051896285578136","0.0618082249930513","77","10"
"39","SOC","soilorder.Oxisols","0.0597893977311279","-0.0154732795733835","0.135052075035639","68","5"
"40","SOC","soilorder.Mollisols","0.0519515369521315","0.0116665641304778","0.0922365097737853","209","19"
"41","SOC","soilorder.Ultisols","0.0797024485708843","0.00695316415057221","0.152451732991196","67","6"
"42","SOC","soilorder.Spodosols",NA,NA,NA,NA,NA
"43","SOC","soilorder.Inceptisols","0.122297695198845","0.0413190131744872","0.203276377223203","33","5"
"44","SOC","Continent.Africa",NA,NA,NA,NA,NA
"45","SOC","Continent.Asia",NA,NA,NA,NA,NA
"46","SOC","Continent.Australia",NA,NA,NA,NA,NA
"47","SOC","Continent.Europe","-0.0175339516238978","-0.109348487449118","0.0742805842013221","21","4"
"48","SOC","Continent.NorthAmerica","0.0259861233058235","-0.0180571486258432","0.0700293952374902","159","17"
"49","SOC","Continent.SouthAmerica","0.0783364628931923","0.042587214950416","0.114085710835969","307","24"
"50","SOC","SoilCollectionSeason.winter",NA,NA,NA,NA,NA
"51","SOC","SoilCollectionSeason.spring","0.0377578818483942","0.000802524139944187","0.0747132395568442","225","24"
"52","SOC","SoilCollectionSeason.summer","0.0249667590170693","-0.0277856793267121","0.0777191973608508","94","8"
"53","SOC","SoilCollectionSeason.fall","0.0512995802036156","0.0025722857046458","0.100026874702585","163","15"
"54","SOC","FractionationMethod.Size","0.0503242409754999","0.0241326416174774","0.0765158403335224","436","45"
"55","SOC","FractionationMethod.Density","0.108474418024734","0.0255212601763571","0.19142757587311","76","4"
"56","SOC","FractionationMethod.SizeAndDensity",NA,NA,NA,NA,NA
"57","SOC","DispersingAgent.SodiumHex","0.04564116749843","0.0150172151165761","0.076265119880284","311","33"
"58","SOC","DispersingAgent.OtherSolution","0.0760064532360262","0.0130741074075641","0.138938799064488","90","8"
"59","SOC","DispersingAgent.GlassBeads","0.0485707417470707","-0.0368481004937296","0.133989583987871","51","4"
"60","SOC","DispersingAgent.Sonication","0.132101937016599","0.0344467412346762","0.229757132798522","36","3"
"61","SOC","DispersingAgent.Combo",NA,NA,NA,NA,NA
"62","SOC","ResponseCalc.Direct","0.0564198325835566","0.0318205686712231","0.0810190964958902","518","50"
"63","SOC","ResponseCalc.Indirect",NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA
