"","resp","mod","r2","b","m","p","nstudy","nobs"
"1","POC","sand","-0.385212983116639","0.120707325583822","0.00176109605321803","0.287403511441131","239","28"
"2","POC","silt","-0.374051883314026","0.289427095881881","-0.00285651545360957","0.129253549095278","227","27"
"3","POC","clay","-0.372795552014055","0.177436753000278","0.000978479916758062","0.739490855187915","233","28"
"4","POC","toc","-0.521908861344655","0.244517990598348","-0.0657647362431727","0.342933050480809","222","20"
"5","POC","ph","-0.268843209427654","0.438725959906797","-0.0410707466868605","0.345956103003313","254","26"
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","POC","species.added","-0.00714892609317313","0.12686210348289","0.00842880194924566","0.605773017598269","404","48"
"8","POC","ag.C.inputs","0.0424146825668526","0.0371308151989488","0.0933596059519638","9.4507139459084e-05","156","22"
"9",NA,NA,NA,NA,NA,NA,NA,NA
"10","POC","duration","-0.0218518601218808","0.112276739224946","0.00531217313741849","0.466039003257288","400","47"
"11","POC","nfert","0.0329433633706035","0.234255477841143","-0.000841124683771787","0.132345734968882","226","30"
"12",NA,NA,NA,NA,NA,NA,NA,NA
"13","POC","Temp","0.030640621368301","-0.0305183595433126","0.0115027589582025","0.0336740993569524","404","48"
"14","POC","Prec","0.00713613620532305","0.0128923718823564","0.000131766409389446","0.127233099818359","404","48"
"15",NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA
"21","POC","duration","-0.0244358354833429","0.093050287543732","0.00904933946615738","0.338201762737925","397","48"
