"","resp","mod","r2","b","m","p","nstudy","nobs"
"1","SOC","sand","-0.394744266524368","0.0491359557924085","0.0004145158617885","0.580780717362424","197","25"
"2","SOC","silt","-0.374431269631566","0.0931795562362558","-0.00077883340404795","0.3591433973569","185","24"
"3","SOC","clay","-0.338252690747712","0.0578848651165106","0.000436538289588472","0.749503183775662","191","25"
"4","SOC","toc","-0.0107322020857255","0.0863474556529002","-0.0111596865894696","0.723639755425301","159","18"
"5","SOC","ph","-0.0356841310550336","0.0552458486868882","0.00523486384451805","0.774174930111759","201","24"
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","SOC","species.added","0.026827822478109","0.0759942730031787","-0.0120028100903035","0.17840656634497","344","44"
"8","SOC","ag.C.inputs","0.281011152277802","-0.00514998321581016","0.046471392686908","1.42971233834512e-05","182","20"
"9",NA,NA,NA,NA,NA,NA,NA,NA
"10","SOC","duration","-0.0296524846950381","0.0510221543501841","0.00116422616799937","0.616468260973249","340","43"
"11","SOC","nfert","0.126223695807398","0.098826620637667","-0.000247490566140888","0.341319650811077","214","28"
"12",NA,NA,NA,NA,NA,NA,NA,NA
"13","SOC","Temp","0.0651274892106738","-0.0275470524537154","0.00595933058665584","0.0138297438790947","344","44"
"14","SOC","Prec","0.0220817069492617","0.0203982854501037","3.99736341944394e-05","0.284333797390731","344","44"
"15",NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA
"21","SOC","duration","-0.0320218695764104","0.048986465071915","0.00162488389051217","0.714132143276564","334","44"
