"","resp","mod","r2","b","m","p","nstudy","nobs"
"1","SOC","sand","-0.256388707188233","0.0810218588686866","0.142570014714057","0.316564864948381","197","25"
"2","SOC","silt","-0.228515332831832","0.103128978965936","-0.201073796275009","0.147188384989345","185","24"
"3","SOC","clay","-0.224313098112515","0.0930429757003229","0.0544266881025734","0.733717527997376","191","25"
"4","SOC","toc","0.0399175875719107","0.10866053815896","-0.0823098083726663","0.530182449726964","159","18"
"5","SOC","ph","0.0586059460626043","0.215528038853441","-0.0106574535541219","0.938440498986246","201","24"
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","SOC","species.added","0.0202350929618426","0.00317964280000076","-0.0881973948895299","0.124084801928104","344","44"
"8","SOC","ag.C.inputs","0.138555709693444","0.0441452466214112","0.422853615115892","0.00000368788583532551","182","20"
"9",NA,NA,NA,NA,NA,NA,NA,NA
"10","SOC","duration","-0.0163099419204472","-0.0121032860809993","0.0478349233674645","0.541736681865768","340","43"
"11","SOC","nfert","0.198494202250405","0.234345639108019","-0.0887292397456992","0.389085782391847","214","28"
"12",NA,NA,NA,NA,NA,NA,NA,NA
"13","SOC","Temp","0.0454058211754358","0.0318695622164461","0.238536553749746","0.0139913794934149","344","44"
"14","SOC","Prec","0.0248399178494482","0.00698693912848766","0.137217629703691","0.184006959401585","344","44"
"15",NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA
