"","moderator","Qm","Qmdf","Qmp","Qe","Qedf","Qep"
"1","Overall",NA,NA,NA,"1022.9729561539","194","1.01388956630439e-112"
"2","depth","1.54283735955415","2","0.216398458449859","1114.51333996213","193","2.04909033582703e-129"
"3","ccseason","11.5868976568677","3","5.15622078518075e-07","959.011380049726","192","3.23777641467847e-102"
"4","ccadded","5.16801972730432","3","0.0018613199746075","997.177417203434","192","6.73998824649687e-109"
"5","maincrop","2.93000783105654","4","0.0220995948388823","827.310571343252","191","5.14882949357224e-80"
"6","tillage","2.47103079304685","2","0.0871675248267917","799.550909539984","193","9.25980296742829e-75"
"7","nfert","0.0603231733931409","1","0.806388682204909","658.539463160055","125","2.07972162816986e-73"
"8","ag.C.inputs","18.9692062640377","1","3.73064285063111e-05","108.646297192021","84","0.0365383371907266"
"9","species.added","2.11600981067962","1","0.147390290695814","853.025692572711","193","1.0749388800871e-83"
"10","duration","1.24160174614234","1","0.266577553233328","510.788799602381","189","2.01888806572453e-31"
"11","sand","0.0414063661759891","1","0.839071292166911","961.176443214462","131","2.04617195715413e-126"
"12","silt","0.0083206599600685","1","0.927473019372714","945.695839910577","119","8.26981923975571e-129"
"13","clay","0.363477248677158","1","0.547673645607667","786.155928191578","125","2.09737508730825e-96"
"14","toc","0.00231603972188833","1","0.961711458645756","193.622799120125","101","8.47933130754163e-08"
"15","ph","1.43073267701831","1","0.233855920684916","251.198788558998","128","4.87234677535683e-10"
"16","Temp","0.38060487509043","1","0.538006788119602","919.860899304717","193","4.34453333966367e-95"
"17","Prec","0.589373648434093","1","0.443599645753619","947.446463854032","193","7.41379721090811e-100"
"18","soilorder","2.32156132610046","4","0.0582950335606359","1022.75853165861","191","8.93023766694165e-114"
"19","Continent","2.35600557259745","3","0.0732158060528748","818.659784766912","192","3.00220037208866e-78"
"20","SoilCollectionSeason","4.65703695154914","3","0.00363522370798028","694.802648075354","192","4.25120208075739e-58"
"21","FractionationMethod","5.38285226915548","2","0.00531043491932853","751.623898579282","193","6.58827774633229e-67"
"22","DispersingAgent","1.81325872634199","4","0.127881954147241","961.601186858633","191","5.09035028472327e-103"
"23","ResponseCalc","5.12717449061817","2","0.00676760648497186","1022.32097215637","193","5.72732253761334e-113"
