"","moderator","Qm","Qmdf","Qmp","Qe","Qedf","Qep"
"1","Overall",NA,NA,NA,"1023.83115479984","195","1.64743082750361e-112"
"2","depth","1.74599451965205","2","0.177201695069483","1121.62974002695","194","2.58730403471486e-130"
"3","ccseason","11.8300610485111","3","3.795133329289e-07","960.435621430335","193","4.09974595278696e-102"
"4","ccadded","5.469256134321","3","0.00125334805208851","997.485613190715","193","1.35943302345337e-108"
"5","maincrop","3.03412632032969","4","0.0186677648912582","844.697133666054","192","1.29203609160187e-82"
"6","tillage","2.75350808015022","2","0.066194969984378","805.904583077865","194","1.68176509589393e-75"
"7","nfert","0.0760701439961718","1","0.783147245178021","662.003372187454","126","1.17240385310568e-73"
"8","ag.C.inputs","20.9038143469564","1","1.62733002753349e-05","108.728157126338","85","0.0423772036232581"
"9","species.added","2.16826434150932","1","0.142505651352664","853.179608978025","194","2.13490783700437e-83"
"10","duration","1.2930193412934","1","0.256924293994116","511.389923257069","190","2.75482344656704e-31"
"11","sand","0.0414063661759891","1","0.839071292166911","961.176443214462","131","2.04617195715413e-126"
"12","silt","0.0083206599600685","1","0.927473019372714","945.695839910577","119","8.26981923975571e-129"
"13","clay","0.363477248677158","1","0.547673645607667","786.155928191578","125","2.09737508730825e-96"
"14","toc","0.00231603972188833","1","0.961711458645756","193.622799120125","101","8.47933130754163e-08"
"15","ph","1.43073267701831","1","0.233855920684916","251.198788558998","128","4.87234677535683e-10"
"16","Temp","0.355507630565748","1","0.55170689555043","920.898387857728","194","6.30613344558693e-95"
"17","Prec","0.57579179855826","1","0.448887472924322","948.667629194326","194","1.01172621310536e-99"
"18","soilorder","2.49363551638121","4","0.0444044858040218","1023.80958520045","192","1.35009353276663e-113"
"19","Continent","2.58713131162687","3","0.0543348678478923","824.837935664041","193","5.79253599009677e-79"
"20","SoilCollectionSeason","4.82110566295227","3","0.00292858145046916","705.650458723358","193","1.5620073368634e-59"
"21","FractionationMethod","5.76626723304068","2","0.0036927658515869","757.756944022218","194","1.32183430968557e-67"
"22","DispersingAgent","2.00396233444075","4","0.0955508770951431","961.604539267419","192","1.14359634142303e-102"
"23","ResponseCalc","5.56095744157308","2","0.00448329973692469","1023.11898424247","194","9.5547188691285e-113"
