"","moderator","Qm","Qmdf","Qmp","Qe","Qedf","Qep"
"1","Overall",NA,NA,NA,"9194.29994884499","395","0"
"2","depth","12.9279686234523","3","4.52560871380448e-08","8838.79578488199","393","0"
"3","ccseason","7.27578796637825","4","1.16591006867462e-05","8360.72202308036","392","0"
"4","ccadded","5.41058245924483","5","7.9530061271606e-05","9025.45221886592","391","0"
"5","maincrop","6.08965301240169","5","1.90698745616876e-05","8614.53467257179","391","0"
"6","tillage","9.02384352363508","2","0.000147265837364763","9386.99205750384","394","0"
"7","nfert","0.513493316328299","1","0.474310271735436","3912.35755932731","246","0"
"8","ag.C.inputs","17.1455507647655","1","6.32163580627551e-05","2338.60279817042","125","0"
"9","species.added","0.0370423854189063","1","0.847477938276322","9157.58786031015","394","0"
"10","duration","1.62650212151681","1","0.202946699104849","8739.08095329864","390","0"
"11","sand","0.608258029884854","1","0.436107932025605","7092.82603158162","278","0"
"12","silt","1.60996162522237","1","0.20560638799102","6881.60534359089","266","0"
"13","clay","0.144723585743925","1","0.703926478094962","7066.20218683683","272","0"
"14","toc","0.00534831127112098","1","0.941767405101918","6524.99985047937","220","0"
"15","ph","1.5975887068097","1","0.207339438725812","6864.85920959911","269","0"
"16","Temp","1.90690057102552","1","0.168090713942562","9193.92651656653","394","0"
"17","Prec","2.38440319945666","1","0.123354468896282","9179.76871031477","394","0"
"18","soilorder","8.94697653549756","5","4.6302097735954e-08","7673.88341212414","391","0"
"19","Continent","6.99638784426454","4","1.89728875260497e-05","9120.27214312181","392","0"
"20","SoilCollectionSeason","5.55812283995073","4","0.000232087500276058","8566.80200150171","392","0"
"21","FractionationMethod","12.4839440183695","2","5.53541771407243e-06","8980.70632990359","394","0"
"22","DispersingAgent","5.85205832276493","5","3.14479885616959e-05","8883.13717029056","391","0"
"23","ResponseCalc","12.9400157030898","2","3.60651015763401e-06","9166.19896323532","394","0"
