"","moderator","Qm","Qmdf","Qmp","Qe","Qedf","Qep"
"1","Overall",NA,NA,NA,"1643.68719873855","366","7.19932458381169e-161"
"2","depth","4.86975137817007","3","0.00247323942249464","1629.6009728296","364","3.84751536307619e-159"
"3","ccseason","7.1093075468995","4","1.60962747760541e-05","1483.93819278236","363","3.63795561290272e-135"
"4","ccadded","5.5092840643225","5","6.64949273746379e-05","1461.19692265165","362","9.70311375131518e-132"
"5","maincrop","5.51758108609398","5","6.53522600707202e-05","1569.16893621524","362","1.27186338913246e-149"
"6","tillage","5.17703381101188","2","0.0060665553410101","1749.14201622493","365","3.34896012113741e-179"
"7","nfert","1.64258022164615","1","0.201178482847863","935.546929993923","246","5.36008611658095e-81"
"8","ag.C.inputs","18.1692978506424","1","3.30685824381798e-05","437.181048205331","174","1.27756942622506e-24"
"9","species.added","2.62128619724399","1","0.106302642032025","1564.14892347619","365","7.90649630250406e-148"
"10","duration","0.30867517436002","1","0.578838428023405","1594.55382583318","361","3.32220193655176e-154"
"11","sand","0.495554049984608","1","0.482184852059109","1301.48871444657","226","1.87795323484039e-150"
"12","silt","0.390711378365377","1","0.532591644697882","1233.71498426481","214","7.6596180300861e-143"
"13","clay","0.152702842487478","1","0.696343836711794","1304.92047235546","220","2.21928396795289e-153"
"14","toc","0.12503193998867","1","0.724114129290821","431.870316262766","157","1.63948490396475e-27"
"15","ph","1.28912952229426","1","0.257502615593633","1030.79216949041","210","2.05977785925313e-108"
"16","Temp","2.89604901618631","1","0.0896484890216596","1615.28696282044","365","2.11458446346013e-156"
"17","Prec","0.409241359676258","1","0.522756126976269","1639.61541406453","365","1.65525870708247e-160"
"18","soilorder","4.24930489123989","5","0.000910370370419336","1565.87935144845","362","4.51837649259919e-149"
"19","Continent","5.65030042583202","3","0.000857801696208098","1738.77934131748","364","9.27360188087909e-178"
"20","SoilCollectionSeason","2.19737647235112","3","0.0880169528412426","1722.11248086869","364","6.76703492347357e-175"
"21","FractionationMethod","8.1463348878894","2","0.000345763789286629","1726.70512848711","365","2.40348865552779e-175"
"22","DispersingAgent","4.40082371855676","4","0.00173845045146657","1661.01537472421","363","8.53795473828523e-165"
"23","ResponseCalc","16.3969137937498","1","6.27293151949238e-05","1643.68719873855","366","7.19932458381169e-161"
