"","moderators","result"
"1","depth","F(df1 = 2, df2 = 134) = 11.379, p-val = 0"
"2","ccseason","F(df1 = 4, df2 = 134) = 3.715, p-val = 0.007"
"3","tillage","F(df1 = 2, df2 = 134) = 3.306, p-val = 0.04"
"4","ccadded","F(df1 = 5, df2 = 134) = 0.323, p-val = 0.899"
"5","maincrop","F(df1 = 3, df2 = 134) = 2.605, p-val = 0.054"
"6","agCinputs","F(df1 = 1, df2 = 134) = 0.191, p-val = 0.663"
"7","Temp","F(df1 = 1, df2 = 134) = 0.075, p-val = 0.784"
"8","soilorder","F(df1 = 5, df2 = 134) = 2.543, p-val = 0.031"
"9","Continent","F(df1 = 2, df2 = 134) = 3.642, p-val = 0.029"
"10","soilcollectionseason","F(df1 = 3, df2 = 134) = 7.433, p-val = 0"
"11","fractionationmethod",NA
"12","DispersingAgent","F(df1 = 2, df2 = 134) = 2.313, p-val = 0.103"
"13","responseCalc","F(df1 = 1, df2 = 134) = 2.281, p-val = 0.133"
