"","study","mean","lci","uci","nobs","mean_bt","lci_bt","uci_bt"
"1","Baye01",0.0419908276183753,0.0134405268371566,0.070541128399594,170,4.28849129684803,1.3531256748232,7.30887029441107
"2","Baye09",0.0573623876574301,0.0198724655317421,0.094852309783118,157,5.90395237169405,2.00712374877949,9.94964582638023
"3","Belt21",0.0557330094077763,0.0178669232420417,0.0935990955735109,166,5.73153527962256,1.80274915769623,9.81194167231321
"4","Cast",0.0571122090196959,0.0199741634301258,0.0942502546092661,175,5.87746077911251,2.01749818640522,9.8834699959967
"5","Duva",0.054292712888477,0.0162425238572739,0.0923429019196801,166,5.57936013235332,1.63751507400198,9.67408321465806
"6","Garc18",0.0563131831482042,0.0191115638127685,0.0935148024836399,175,5.79289573806911,1.92953587508815,9.80268567455871
"7","Hang",0.0530293273962254,0.0155699541069168,0.0904887006855339,174,5.446056924881,1.56917973857746,9.47091381089626
"8","Mart",0.0547000353939531,0.0167134862563788,0.0926865845315275,168,5.6223737414598,1.68539379559411,9.71178276799865
"9","Nasc",0.0518046614262227,0.0139499185549196,0.0896594042975258,158,5.31699976937747,1.40476726939498,9.38016761042983
"10","Neto",0.0580703841726013,0.0215009232379871,0.0946398451072155,175,5.97895854983932,2.17337336403423,9.92628789196996
"11","Obry",0.0558757546880789,0.0188074988172411,0.0929440105589167,176,5.74662903451839,1.89854738271484,9.7400290719053
"12","Sala",0.0618057736869276,0.0274354396117484,0.0961761077621068,171,6.37557153116537,2.78152568131862,10.09529332798
"13","Belt18",0.0534211735431209,0.0163282472324915,0.0905140998537502,177,5.487383652323,1.64622815829503,9.47369431636207
"14","Fras",0.0555496205154364,0.0175699101242187,0.0935293309066541,166,5.71214706832788,1.77251689567741,9.80428094601264
"15","Ball",0.0514982201415012,0.0142112460913371,0.0887851941916653,175,5.28473123712287,1.43127059027943,9.28458814687774
"16","deOl",0.0567349420595501,0.0193832988827788,0.0940865852363214,166,5.83752424517747,1.957237468232,9.8654869090459
"17","Land",0.0529316644663222,0.0150436438505545,0.0908196850820898,168,5.43575925687336,1.51573690254074,9.50715297221203
"18","Yao19",0.0540258527197177,0.0159360334816119,0.0921156719578235,172,5.55118896553923,1.60636892706656,9.64916480812403
"19","Wies",0.0522008499351151,0.0147519948505432,0.089649705019687,176,5.35873342112785,1.48613425638862,9.37910670693913
"20","Thap",0.0538804268058221,0.0157062625881308,0.0920545910235133,157,5.53584020350208,1.58302542282642,9.64246753923101
"21","Guim",0.0455434625712547,0.0124908218954098,0.0785961032470996,174,4.65964914000376,1.25691580323488,8.17673115181681
"22","Kois",0.0564940406923457,0.0195813076165929,0.0934067737680984,177,5.812030911698,1.97742789060029,9.79082447214905
"23","Kaue",0.0540782177154724,0.0172439664199251,0.0909124690110197,177,5.55671629781942,1.73935019005824,9.51731394749102
