"","study","mean","lci","uci","nobs","mean_bt","lci_bt","uci_bt"
"1","Baye01",0.15508528142374,0.0961807501712222,0.213989812676257,459,16.7757544884752,10.0958044365597,23.8610036607745
"2","Baye09",0.170544681935081,0.107858572649862,0.2332307912203,446,18.5950641319551,11.3890199706807,26.267285951206
"3","Zana",0.162497621614602,0.0999330701348485,0.225062173094355,447,17.6445520404515,10.5096951610442,25.2400579390734
"4","Blan",0.167604203338822,0.105649030685438,0.229559375992205,466,18.2468500931174,11.1431729613418,25.8045562709241
"5","Mott",0.16932087438147,0.106719799175143,0.231921949587797,461,18.4500153706376,11.2622453068755,26.1021301754844
"6","Amad",0.158304089238604,0.09828020971903,0.218327968758179,465,17.1522387898611,10.3271889305601,24.3994992214921
"7","Balb",0.168160106894489,0.105452228349295,0.230867985439683,461,18.3126022117556,11.1213018774674,25.9692930663507
"8","Belt18",0.165071200264202,0.103232571203115,0.226909829325289,466,17.9477094802565,10.8749242237781,25.471672418564
"9","Belt21",0.164549363125175,0.101777277972391,0.227321448277958,455,17.8861760415997,10.7136860499666,25.5233295677561
"10","Cast",0.167651175900982,0.105225794893043,0.230076556908921,464,18.2524045810869,11.0961431455168,25.8696368144203
"11","Conc",0.163457504307136,0.100970376172291,0.225944632441981,459,17.7575312245331,10.6243870100203,25.3506259776232
"12","Cres",0.16448605019035,0.101910215274343,0.227061885106356,455,17.8787125580892,10.7284050070067,25.4907525623018
"13","deCa",0.168305125630203,0.105418576569212,0.231191674691194,457,18.3297609998901,11.1175625107726,26.0100745724481
"14","Dube",0.164171711815913,0.101677414593972,0.226666009037853,461,17.8416645783089,10.7026303592789,25.4410836085677
"15","Duva",0.167420612114788,0.104403270876096,0.23043795335348,455,18.2251430018473,11.0048014701001,25.9151338743856
"16","Garc13",0.159134007800232,0.0981572610052424,0.220110754595222,461,17.2495059637026,10.3136251784253,24.6214746954124
"17","Garc18",0.172871573168985,0.111476044448853,0.234267101889117,464,18.8713432581488,11.7926963128212,26.3982059119192
"18","Guim",0.156609425171745,0.0965209220233928,0.216697928320096,455,16.953873229399,10.1332623009654,24.1968881842378
"19","Hang",0.16934069378152,0.106912111134757,0.231769276428283,463,18.4523630021425,11.2836444248887,26.0828792344375
"20","Mart",0.169265083933989,0.106457180430208,0.23207298743777,457,18.4434071756148,11.2330295921195,26.1211778085237
"21","Nasc",0.176801112617515,0.116600701960657,0.237001523274374,427,19.3393718569559,12.3670660608544,26.7443048437329
"22","Neto",0.17149368870985,0.109666950682561,0.233320426737138,464,18.7076650723472,11.5906356712374,26.278604491906
"23","Obry",0.163465935715865,0.10166161897229,0.22527025245944,465,17.7585240905954,10.7008817562207,25.2661205222614
"24","Roso",0.159251531307404,0.0982417072192671,0.220261355395541,461,17.2632863466013,10.3229411397703,24.6402442025545
