"","study","mean.x","lci.x","uci.x","nobs.x","mean_bt.x","lci_bt.x","uci_bt.x","mean.y","lci.y","uci.y","nobs.y","mean_bt.y","lci_bt.y","uci_bt.y","mean","lci","uci","nobs","mean_bt","lci_bt","uci_bt"
"1","Amad",0.131987314691913,0.0766342965191543,0.187340332864672,403,14.1093844048456,7.96471734588937,20.6037669467263,NA,NA,NA,NA,NA,NA,NA,0.0563439535624932,0.0309103843759223,0.0817775227490641,340,5.79615107938363,3.13930708111505,8.52143474659031
"2","Ande",0.141512165178911,0.0841505119541736,0.198873818403649,398,15.2014518638292,8.77926072791571,22.0028011104912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Balb",0.139947428910734,0.0821299569246618,0.197764900896807,398,15.0213329300157,8.55968814948722,21.8675850540383,NA,NA,NA,NA,NA,NA,NA,0.0589707077408142,0.0328756070178486,0.0850658084637799,338,6.07441686919568,3.34219808035745,8.87887158535836
"4","Ball",0.134530990967631,0.077668936717955,0.191393045217307,401,14.4000112123474,8.07647978949604,21.0935310890573,0.0514982201415012,0.0142112460913371,0.0887851941916653,175,5.28473123712287,1.43127059027943,9.28458814687774,0.0553563685323386,0.0302377594646264,0.0804749776000508,341,5.69171996012254,3.06995633997122,8.38017269826745
"5","Baye01",0.132769730988773,0.0764334035276581,0.189106058449888,399,14.1987003834108,7.94303016931952,20.8169082228224,0.0419908276183753,0.0134405268371566,0.070541128399594,170,4.28849129684803,1.3531256748232,7.30887029441107,NA,NA,NA,NA,NA,NA,NA
"6","Baye09",0.14211166225661,0.0843999213427673,0.199823403170452,385,15.2705355032191,8.80639468041613,22.1187081349958,0.0573623876574301,0.0198724655317421,0.094852309783118,157,5.90395237169405,2.00712374877949,9.94964582638023,0.0601827439268881,0.0340954936400581,0.0862699942137181,323,6.20306084568665,3.46834076955194,9.01006094331576
"7","Beeh",0.140092938710814,0.0825182077739751,0.197667669647654,401,15.0380708789135,8.60184472374577,21.8557362925565,NA,NA,NA,NA,NA,NA,NA,0.0594256266790199,0.0332771321040936,0.0855741212539463,320,6.12268310806929,3.38370089700784,8.93423017691217
"8","Belt18",0.13574208080303,0.0789127458556712,0.19257141575039,403,14.5386438344312,8.2109899377649,21.2363082435141,0.0534211735431209,0.0163282472324915,0.0905140998537502,177,5.487383652323,1.64622815829503,9.47369431636207,0.0570950948835735,0.0314280378511428,0.0827621519160043,343,5.87564879334177,3.19271132311063,8.62834073922216
"9","Belt21",0.137678445985514,0.0798637371513471,0.195493154819682,393,14.7606473469701,8.31394659497524,21.5910470767261,0.0557330094077763,0.0178669232420417,0.0935990955735109,166,5.73153527962256,1.80274915769623,9.81194167231321,0.0584641349538536,0.0323003182920809,0.0846279516156264,332,6.02069606411482,3.28276357654493,8.83120866134581
"10","Blan",0.13994462552252,0.0826783362211198,0.197210914823921,403,15.0210104810185,8.6192363609092,21.8000908063449,NA,NA,NA,NA,NA,NA,NA,0.0589477306835182,0.0331678929668024,0.0847275684002341,343,6.07197961924217,3.37240796753804,8.84205061642902
