"","StudyID","StudyNum"
"1","Baye01",1
"2","Baye09",2
"3","Blan",3
"4","Mott",4
"5","Belt21",5
"6","Cast",6
"7","Duva",7
"8","Garc18",8
"9","Hang",9
"10","Mart",10
"11","Nasc",11
"12","Neto",12
"13","Obry",13
"14","Sala",14
"15","Belt18",15
"16","Amad",16
"17","Balb",17
"18","Cres",18
"19","Dube",19
"20","Garc13",20
"21","Guim",21
"22","Roso",22
"23","Ande",23
"24","Moor",24
"25","Muku",25
"26","Ruis17",26
"27","Ruis20",27
"28","Wegn",28
"29","Fras",29
"30","Ball",30
"31","deOl",31
"32","Land",32
"33","Yao19",33
"34","Beeh",34
"35","Cate",35
"36","Chen",36
"37","Rigo",37
"38","Wies",38
"39","Thap",39
"40","Hass",40
"41","Isla",41
"42","Lado",42
"43","Sequ",43
"44","Kois",44
"45","Sain",45
"46","Grif",46
"47","Snap",47
"48","Kaue",48
"49","Cord",49
