"","StudyID","StudyNum"
"1","Baye01",1
"2","Baye09",2
"3","Zana",3
"4","Blan",4
"5","Mott",5
"6","Belt21",6
"7","Cast",7
"8","Conc",8
"9","deCa",9
"10","Duva",10
"11","Garc18",11
"12","Hang",12
"13","Mart",13
"14","Nasc",14
"15","Neto",15
"16","Obry",16
"17","Sala",17
"18","Amad",18
"19","Balb",19
"20","Belt18",20
"21","Cres",21
"22","Dube",22
"23","Garc13",23
"24","Guim",24
"25","Roso",25
"26","Ruis17",26
"27","Ruis20",27
"28","Fras",28
"29","Ball",29
"30","deOl",30
"31","Land",31
"32","Yao19",32
"33","Beeh",33
"34","Cate",34
"35","Chen",35
"36","Rigo",36
"37","Wies",37
"38","Vier",38
"39","Thap",39
"40","Hass",40
"41","Isla",41
"42","Lado",42
"43","Sequ",43
"44","Kois",44
"45","Sain",45
"46","Grif",46
"47","Snap",47
"48","Muku",48
"49","Kaue",49
"50","Cord",50
