"","StudyID","StudyNum"
"1","Baye01",1
"2","Baye09",2
"3","Zana",3
"4","Blan",4
"5","Mott",5
"6","Belt21",6
"7","Cast",7
"8","Conc",8
"9","deCa",9
"10","Duva",10
"11","Garc18",11
"12","Hang",12
"13","Mart",13
"14","Nasc",14
"15","Neto",15
"16","Obry",16
"17","Sala",17
"18","Belt18",18
"19","Amad",19
"20","Balb",20
"21","Cres",21
"22","Dube",22
"23","Garc13",23
"24","Guim",24
"25","Roso",25
"26","Ande",26
"27","Moor",27
"28","Muku",28
"29","Ruis17",29
"30","Ruis20",30
"31","Wegn",31
"32","Fras",32
"33","Ball",33
"34","deOl",34
"35","Land",35
"36","Yao19",36
"37","Beeh",37
"38","Cate",38
"39","Chen",39
"40","Rigo",40
"41","Wies",41
"42","Vier",42
"43","Thap",43
"44","Hass",44
"45","Isla",45
"46","Lado",46
"47","Sequ",47
"48","Kois",48
"49","Sain",49
"50","Grif",50
"51","Snap",51
"52","Kaue",52
"53","Cord",53
