"","StudyID","StudyNum"
"1","Baye01",1
"2","Baye09",2
"3","Blan",3
"4","Mott",4
"5","Belt21",5
"6","Cast",6
"7","Duva",7
"8","Garc18",8
"9","Hang",9
"10","Mart",10
"11","Nasc",11
"12","Neto",12
"13","Obry",13
"14","Sala",14
"15","Amad",15
"16","Balb",16
"17","Belt18",17
"18","Cres",18
"19","Dube",19
"20","Garc13",20
"21","Guim",21
"22","Roso",22
"23","Ruis17",23
"24","Ruis20",24
"25","Fras",25
"26","Ball",26
"27","deOl",27
"28","Land",28
"29","Yao19",29
"30","Beeh",30
"31","Cate",31
"32","Chen",32
"33","Rigo",33
"34","Wies",34
"35","Thap",35
"36","Hass",36
"37","Isla",37
"38","Lado",38
"39","Sequ",39
"40","Kois",40
"41","Sain",41
"42","Grif",42
"43","Snap",43
"44","Muku",44
"45","Kaue",45
"46","Cord",46
