"","maom fraction","pom fraction","total organic matter"
"Amad",0,2,4
"Ande",0,6,0
"Balb",0,6,6
"Ball",3,3,3
"Baye01",8,8,0
"Baye09",21,21,21
"Beeh",0,3,24
"Belt18",1,1,1
"Belt21",12,12,12
"Blan",0,1,1
"Cast",3,3,3
"Cate",0,16,8
"Chen",0,6,6
"Conc",8,8,8
"Cord",0,5,0
"Cres",0,12,8
"deCa",10,10,10
"deOl",12,12,16
"Dube",0,6,0
"Duva",12,12,12
"Fras",12,12,12
"Garc13",0,6,6
"Garc18",3,3,3
"Grif",0,4,2
"Guim",4,12,12
"Hang",4,4,4
"Hass",0,60,0
"Isla",0,4,4
"Kaue",1,1,4
"Kois",1,0,2
"Lado",0,3,3
"Land",10,10,15
"Mart",10,10,10
"Moor",0,6,6
"Mott",0,6,8
"Muku",0,10,5
"Nasc",20,40,20
"Neto",3,3,3
"Obry",2,2,2
"Rigo",0,6,6
"Roso",0,6,15
"Ruis17",0,4,4
"Ruis20",0,12,12
"Sain",0,3,3
"Sala",7,7,7
"Sequ",0,2,2
"Snap",0,3,3
"Thap",21,21,21
"Vier",0,2,2
"Wegn",0,24,12
"Wies",2,2,8
"Yao19",6,6,6
"Zana",0,20,20
