"","X.1","X","StudyID","Obs.ID","DOI","DispersingAgent","DispersingAgent.SodiumHex","DispersingAgent.OtherSolution","DispersingAgent.GlassBeads","DispersingAgent.Sonication","DispersingAgent.Combo","FractionationMethod","FractionationMethod.Size","FractionationMethod.Density","FractionationMethod.SizeAndDensity","Continent","Continent.Africa","Continent.Asia","Continent.Australia","Continent.Europe","Continent.NorthAmerica","Continent.SouthAmerica","country","ResponseCalc","ResponseCalc.Direct","ResponseCalc.Indirect","rv.type","summed","rv","mean.control.in.g.kg.1","mean.treatment.in.g.kg.1","sd.control.in.g.kg..1","sd.treatment.in.g.kg.1","sd.imputed.in.g.kg.1","control.BD..Mg.m.3.","treat.BD..Mg.m.3.","mean.control.in.Mg.ha.1","mean.treatment.in.Mg.ha.1","sd.control.in.Mg.ha.1","sd.treatment.in.Mg.ha.1","sd.imputed.in.Mg.ha.1","depth.upper.limit..cm.","depth.lower.limit..cm.","depth.type","depth.surface","depth.subsoil","depth.deepsoil","soilorder","soilorder.Alfisols","soilorder.Inceptisols","soilorder.Mollisols","soilorder.Oxisols","soilorder.Spodosols","soilorder.Ultisols","Baseline.depth..cm.","Baseline...sand","Baseline...silt","Baseline...clay","Baseline.TOC..","Baseline.pH","pH.method","SoilCollectionSeason","SoilCollectionSeason.spring","SoilCollectionSeason.summer","SoilCollectionSeason.fall","SoilCollectionSeason.winter","location.name","lat.decimal","long.decimal","maincrop","maincrop.cereal","maincrop.legume","maincrop.cereallegume","maincrop.otherrowcrop","maincrop.perennial","number.of.crop.species.in.control","cover.crop.added","ccadded.grass","ccadded.legume","ccadded.grasslegume","ccadded.brassica","ccadded.grassbrassica","ccadded.legumebrassica","ccadded.grasslegumebrassica","total.C.inputs.cover.crops..Mg.ha.1.yr.1.","bg.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.fallow..Mg.ha.1.yr.1.","ccseason","ccseason.spring","ccseason.summer","ccseason.fall","ccseason.winter","ccseason.yearround","number.crop.species.added","duration..yr.","reps","tillage","tillage.conventional","tillage.reducednotill","N.fertilization.rate..kg.ha.1.yr.1.","N.type","residue.removal....","logRR.type","logRR","percent.change","var","Further.notes","Further.notes.2","Temp","Prec","comp","depth","maincrop.category","cropping.system","cover.crop.category","cover.crop","sand","silt","clay","toc","ph","species.added","ag.C.inputs","duration","nfert","StudyNum"
"11",16,20,"Baye09",123,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"SOC",10.13888889,10.46052632,1.107982307,1.143130989,NA,1.44,1.52,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"oat, vetch",0,0,1,0,0,0,0,NA,NA,1.69,0.72,"winter","0","0",0,"1","0",2,8,2,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.031,3,0.0119422,"","",19.4,1654,"cc vs. fallow","surface","cereal","cereal","grass+legume","grass+legume",66,25.3,8.7,NA,NA,2,1.69,8,NA,2
"12",17,21,"Baye09",124,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"SOC",10.13888889,11.15384615,1.107982307,1.21889729,NA,1.44,1.56,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"ryegrass, vetch",0,0,1,0,0,0,0,NA,NA,1.35,0.72,"winter","0","0",0,"1","0",2,8,2,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.095,10,0.0119422,"","",19.4,1654,"cc vs. fallow","surface","cereal","cereal","grass+legume","grass+legume",66,25.3,8.7,NA,NA,2,1.35,8,NA,2
"13",18,22,"Baye09",125,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"SOC",10.13888889,15.06849315,1.107982307,1.646691663,NA,1.44,1.46,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"mucuna",0,1,0,0,0,0,0,NA,NA,2,0.72,"summer","0","1",0,"0","0",1,8,2,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.396,49,0.0119422,"","",19.4,1654,"cc vs. fallow","surface","cereal","cereal","legume","legume",66,25.3,8.7,NA,NA,1,2,8,NA,2
"14",19,23,"Blan",211,"10.2136/sssaj2013.12.0550","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"total organic matter",0,"SOC",19.5,20.6,2.130968711,2.251177202,1,NA,NA,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"South Central Agricultural Laboratory",40.582,-98.144,"corn",1,0,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",1,3,4,"reduced or no-till",0,1,162.5,"both",31.5,"gkg",0.055,6,0.0059711,"","",10.3,689,"cc vs. fallow","surface","cereal","cereal","grass","grass",NA,NA,NA,NA,NA,1,NA,3,162.5,3
"17",26,30,"Mott",801,"10.1080/00103620701663065","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"total organic matter",0,"SOC",8.3,10.7,0.9070277076,1.16930078,1,NA,NA,NA,NA,NA,NA,NA,0,3,"surface",1,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Alabama Agriculture Experiment Station",34.6916667,-86.89027778,"cotton",0,0,0,1,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",1,21,4,"conventional",1,0,80,"inorganic",NA,"gkg",0.254,29,0.0059711,"","",15.3,1423,"cc vs. fallow","surface","other row crop","other row crop","grass","grass",NA,NA,NA,NA,NA,1,NA,21,80,4
"18",27,31,"Mott",802,"10.1080/00103620701663065","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"total organic matter",0,"SOC",18.1,18.9,1.977976085,2.065400443,1,NA,NA,NA,NA,NA,NA,NA,0,3,"surface",1,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Alabama Agriculture Experiment Station",34.6916667,-86.89027778,"cotton",0,0,0,1,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",1,9,4,"reduced or no-till",0,1,80,"inorganic",NA,"gkg",0.043,4,0.0059711,"","",15.3,1423,"cc vs. fallow","surface","other row crop","other row crop","grass","grass",NA,NA,NA,NA,NA,1,NA,9,80,4
"121",143,173,"Moor",789,"10.2136/sssaj2013.09.0401","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"total organic matter",0,"SOM",49.3,54.4,5.387526022,5.9448563,1,1.26,1.26,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"summer",0,1,0,0,"Boyd Farm",42.0072222,-93.79194444,"corn,soybean",0,0,1,0,0,2,"rye",1,0,0,0,0,0,0,NA,NA,0.74025,NA,"winter","0","0",0,"1","0",1,10,10,"reduced or no-till",0,1,104,NA,NA,"gkg",0.098,10,0.0023884,"rye after silage","",8.8,842,"cc vs. fallow","surface","cereal+legume","cereal+legume","grass","grass",NA,NA,NA,NA,NA,1,0.74025,10,104,24
"122",144,174,"Moor",790,"10.2136/sssaj2013.09.0401","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"total organic matter",0,"SOM",49.3,56.5,5.387526022,6.174345239,1,1.26,1.26,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"summer",0,1,0,0,"Boyd Farm",42.0072222,-93.79194444,"corn,soybean",0,0,1,0,0,2,"rye",1,0,0,0,0,0,0,NA,NA,0.74025,NA,"winter","0","0",0,"1","0",1,10,10,"reduced or no-till",0,1,104,NA,NA,"gkg",0.136,15,0.0023884,"rye after both silage and soybean","",8.8,842,"cc vs. fallow","surface","cereal+legume","cereal+legume","grass","grass",NA,NA,NA,NA,NA,1,0.74025,10,104,24
"123",145,175,"Moor",791,"10.2136/sssaj2013.09.0401","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"total organic matter",0,"SOM",49.3,49.5,5.387526022,5.409382112,1,1.26,1.26,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"summer",0,1,0,0,"Boyd Farm",42.0072222,-93.79194444,"corn,soybean",0,0,1,0,0,2,"rye",1,0,0,0,0,0,0,NA,NA,0.74025,NA,"winter","0","0",0,"1","0",1,10,10,"reduced or no-till",0,1,104,NA,NA,"gkg",0.004,0,0.0023884,"rye after soybean","",8.8,842,"cc vs. fallow","surface","cereal+legume","cereal+legume","grass","grass",NA,NA,NA,NA,NA,1,0.74025,10,104,24
"124",146,194,"Amad",3,"10.2134/jeq2005.0233","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"SOC",NA,NA,NA,NA,NA,NA,NA,6.76,8.22,0.8343651748,1.014568304,1,0,5,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,"A horizon",66,25.3,8.7,NA,4.5,"water",NA,0,0,0,0,"Santa Maria",-29.75,-53.7,"corn",1,0,0,0,0,1,"ryegrass",1,0,0,0,0,0,0,NA,NA,3.76,NA,"winter","0","0",0,"1","0",1,10,2,"reduced or no-till",0,1,120,"organic",NA,"mgha",0.196,22,0.0152342,"","",19.4,1654,"cc vs. fallow","surface","cereal","cereal","grass","grass",66,25.3,8.7,NA,4.5,1,3.76,10,120,16
